Address,Allocation %
0x7473f5f0e86c47dc7574657aa5bfc36ccd37400f,0.05825530420%
0x3dedbc18b1a9e8c8e521657b8a2be05c9609713f,0.05824148090%
0x6a8762475ff763c091e3bfae34cfee046fd03d33,0.05820764388%
0x71784a8b738a340c433c48cce913c1f633869830,0.05818060808%
0x9e67f379aef399cee9eaf4260ce27b860bcc69bb,0.05813992205%
0xdf5c64c6098fc497a80f63505df23578a3bfc6ea,0.05813132377%
0x767b597a34bd8b5290fbed5f7dd95c2a82e0bf4e,0.05809563823%
0x789ce9072157131c9e76d34d7468e57c354015d7,0.05809073106%
0x980bd0360937776b469921255f9f1d59a2db0dbf,0.05808858946%
0xc4694dfd31208fadff6a71526a7c10449317f527,0.05808062902%
0xb8421159252ecf26b066127b4f86896ae8de78ea,0.05754598411%
0xc71a411e57baf8b4ac8ecf75c01972cf1e9c464e,0.05725575886%
0xc52ddbf8b6d3a5b68bf4cebbc7240834a3cba73b,0.05690458816%
0x8477cd6ec6af9770b352a31cae45f73360c812e1,0.05667917999%
0x4789f8ed86858dd6879104781293a98569b46b16,0.05638336349%
0xccfb9010a9d082dda54be56f8f6f4cf4da9ff86f,0.05608936539%
0x9387fdd19f66865d5265b41cf3db95db243e8888,0.05600962597%
0x7da02e5a5dfb3312a2b8487a04cb6b062923618a,0.05537753436%
0x64959312c01930b8776a81e7775298533630ca12,0.05523802826%
0xe788865fcaf2686183fe32e8855dcf2ee9dfb964,0.05517756712%
0x4b4d12a4b59e66f3f0dea7d06bfd209c0e495bef,0.05502331196%
0x5524c33467183c56d37d701b6d90c1773049f16e,0.05470623092%
0x0ef8582381874780e4cdbbeaef8bfa1f9cd34dae,0.05467863757%
0xbb606d1530472700761898263c8a6178865718f6,0.05466155644%
0x132af0452a9b8b61777421bf77c41fbbabf8527a,0.05465431146%
0x28ca78be125f95517d1d933c463afade65bdaa52,0.05435291391%
0xbde6361e195d9c4bb83f2c6479ce7055fab8011e,0.05426581787%
0x3b4556462b03590c7fee032cd002eb9c181b3e6b,0.05416327778%
0x15b979ff00f07fb1ecff0fa24a2d05df9987a60a,0.05415824101%
0xf5547e4880d78200115442f5783f6a28475d5b4f,0.05411339973%
0x44bf7204e52051d48f8c3d24ce0acab32461425d,0.05409725634%
0xe0fe4a091e0336cc0350d61b9e5b46eef0cc9b4d,0.05409494045%
0x4b3b0a6c0bacb088b6b0b0ba31bab77282068117,0.05408880018%
0x92bc9d813eeb8b4711a0a1be61b62d9586f1d592,0.05407197364%
0x12ac16acfb229c2a71c33e4d8035ff89736d9d5c,0.05398290840%
0x141fddb73b00996eb8eb19c25c54e0754e119377,0.05394843476%
0xb6c20c12cb48abd9740585bd41ea77221c8dbbc2,0.05394312460%
0x8439a3b6ed9cf3771ba4b91c2812316a209ec194,0.05371005632%
0x7e4cab656162c16a2326c7b008c9cee2f978af5c,0.05365307707%
0x059213d0adbd35def06ac6736c8bb310360c8a5d,0.05357325945%
0x8db907bcb3a3b9a47536abd81da90493df1507d2,0.05292810187%
